ArticleName;ArticleNr;ArticleSize;SaleYear;SaleM01;SaleM02;SaleM03;SaleM04;SaleM05;SaleM06;SaleM07;SaleM08;SaleM09;SaleM10;SaleM11;SaleM12;SaleQ1;SaleQ2;SaleQ3;SaleQ4;SaleTotal;
SD47E0308XV;1084403893;XL;2020;436,58;865,39;1716,33;57,32;914,8;3488,73;204,2;559,49;320,74;6908,4;1082,69;673,27;3018,3;4460,85;1084,43;8664,36;17227,94;
WI22F0337FE;1465425980;XL;2020;528,7;2827,48;10,96;1442,7;540,08;4373,14;125,08;1354,4;8384,16;4116,67;2996,88;6670,4;3367,14;6355,92;9863,64;13783,95;33370,65;
QZ82C0075YL;1009997142;XL;2020;7,66;4270,31;4660,76;602,53;204,74;2676,34;5671,28;367,58;69,36;734,78;3631,3;5783,81;8938,73;3483,61;6108,22;10149,89;28680,45;
OU24T0352SX;1232322142;XL;2020;4488,32;393,36;3330,05;268,5;2646,71;1326,58;2983,52;1284,44;4037,61;5917,92;4266,9;1348,81;8211,73;4241,79;8305,57;11533,63;32292,72;
BY86G0220TC;1864916213;XL;2020;3537,27;1416,64;34,97;72,81;2640,86;6501,96;2515,49;1489,12;5622,44;3498,72;2241,54;217,23;4988,88;9215,63;9627,05;5957,49;29789,05;
YO12Z0945TG;1533930037;XXL;2020;2501;2483,9;6877,08;8788,17;1834,31;1548,54;95,43;3445,73;107,61;226,37;584,76;645,73;11861,98;12171,02;3648,77;1456,86;29138,63;
SN28I0265KA;1782869736;XXL;2020;1037,67;2740,66;242,69;3432,04;7819,22;162,05;5119,83;32,97;4130,43;924,26;225,77;3099,56;4021,02;11413,31;9283,23;4249,59;28967,15;
AJ57V0905HO;1147398377;XXL;2020;1536,84;6180,69;95,61;291,92;1919,21;665,91;5082,53;220,94;709,76;2872,1;548,67;4702,04;7813,14;2877,04;6013,23;8122,81;24826,22;
VR15V0219UI;1321023149;XXL;2020;8434,09;400,9;1988,54;4821,4;1226,99;4252,06;1005,37;3042,71;1558,61;3308,71;4320,61;318,13;10823,53;10300,45;5606,69;7947,45;34678,12;
EG43W0800UE;1445078936;XXL;2020;11,42;2054,54;624,04;937,54;92,76;264,84;194,56;1389,77;3678,06;3832,78;2866,18;2119,84;2690;1295,14;5262,39;8818,8;18066,33;
